688369,致远互联,59.45,59.5,61.39,59.42,59.48,20191031,0.02,2019-12-29 12:12:09
688025,杰普特,43.12,42.22,43.33,42.18,43.13,20191031,-0.91,2019-12-29 12:12:09
688366,昊海生科,88.88,86.24,88.91,86.0,87.9,20191030,-1.66,2019-12-29 12:12:09
688108,赛诺医疗,16.91,16.23,16.91,16.21,16.79,20191030,-0.56,2019-12-29 12:12:09
603610,麒盛科技,45.87,45.87,46.36,45.78,45.88,20191029,-0.01,2019-12-29 12:12:09
601077,渝农商行,6.72,6.72,6.84,6.7,6.73,20191029,-0.01,2019-12-29 12:12:09
300799,左江科技,104.38,107.2,109.48,104.11,104.47,20191029,2.73,2019-12-29 12:12:09
688098,申联生物,16.78,16.28,16.96,16.26,16.76,20191028,-0.48,2019-12-29 12:12:09
002963,豪尔赛,33.31,33.23,33.68,33.11,33.46,20191028,-0.23,2019-12-29 12:12:09
688139,海尔生物,29.05,28.57,29.29,28.47,29.12,20191025,-0.55,2019-12-29 12:12:09
002965,祥鑫科技,34.62,34.83,35.08,34.11,34.82,20191025,0.01,2019-12-29 12:12:09
300795,米奥兰特,28.85,29.26,29.35,28.7,28.96,20191022,0.3,2019-12-29 12:12:09
603815,交建股份,18.21,18.45,18.88,18.06,18.24,20191021,0.21,2019-12-29 12:12:09
300793,佳禾智能,53.59,52.75,55.54,52.66,53.71,20191018,-0.96,2019-12-29 12:12:09
603786,科博达,53.1,51.18,53.96,51.06,53.0,20191015,-1.82,2019-12-29 12:12:09
688368,晶丰明源,88.55,86.65,93.5,86.65,88.79,20191014,-2.14,2019-12-29 12:12:09
688068,热景生物,46.8,46.27,47.35,46.27,46.78,20190930,-0.51,2019-12-29 12:12:09
688036,传音控股,43.48,43.63,45.32,43.2,43.6,20190930,0.03,2019-12-29 12:12:09
688030,山石网科,42.97,41.9,43.48,41.8,42.95,20190930,-1.05,2019-12-29 12:12:09
300792,壹网壹创,171.0,168.21,181.38,166.88,171.6,20190927,-3.39,2019-12-29 12:12:09
688116,天奈科技,33.0,32.15,33.47,32.0,33.06,20190925,-0.91,2019-12-29 12:12:09
300791,仙乐健康,60.9,60.1,61.51,60.05,61.08,20190925,-0.98,2019-12-29 12:12:09
300790,宇瞳光学,44.65,44.18,45.4,44.18,45.32,20190920,-1.14,2019-12-29 12:12:09
002962,五方光电,39.55,37.75,39.66,37.75,39.65,20190917,-1.9,2019-12-29 12:12:09
603927,中科软,71.5,69.91,71.99,69.9,71.75,20190909,-1.84,2019-12-29 12:12:09
688168,安博通,105.0,101.1,105.4,101.03,104.8,20190906,-3.7,2019-12-29 12:12:09
002961,瑞达期货,38.4,37.07,38.98,37.0,38.74,20190905,-1.67,2019-12-29 12:12:09
603093,南华期货,27.72,26.81,28.78,26.8,27.99,20190830,-1.18,2019-12-29 12:12:09
603755,日辰股份,47.16,50.02,51.51,47.16,47.16,20190828,2.86,2019-12-29 12:12:09
300789,唐源电气,90.0,93.9,94.15,87.63,90.13,20190828,3.77,2019-12-29 12:12:09
